title,genre,classification,duration,synopsis,url
Apocalipsis en Stonehenge,Sci-Fi & Fantasy,PG-13,1hr 31 min,"Cuando un grupo de arqueólogos desentierra un esqueleto humano cerca del monumento histórico de Stonehenge, se encuentra también una antigua máquina escondida bajo tierra.",https://pluto.tv/on-demand/movies/5f50084766db1f001be35a14/details
War of the Worlds,Action & Adventure,N/A,1hr 33 min,"En esta nueva versión moderna del clásico horror de ciencia ficción de H.G. Wells, la civilización se arruina cuando una súper raza de extraterrestre invade la Tierra.",https://pluto.tv/on-demand/movies/5dc930f083ada62ccb4e308c/details
Asteroide,Comedy,N/A,1hr 28 min,Un hombre de familia desconectado se muda con su esposa y su hija de la gran ciudad a la casa de sus sueños en las afueras de un pequeño pueblo justo a tiempo para el apocalipsis.,https://pluto.tv/on-demand/movies/628cfe7656bdac0013fe7404/details
2012: Ice Age,Action & Adventure,N/A,1hr 31 min,"Cuando una erupción volcánica en Islandia envía un glaciar a América del Norte, una familia lucha por escapar de la embestida de la próxima era glacial.",https://pluto.tv/on-demand/movies/5e50521c45cf42c6404a9806/details
COMBUSTIÓN HUMANA,Horror,G,50 min,"Desde los tiempos bíblicos y hasta el día de hoy, la historia está llena de narraciones desconcertantes sobre la combustión humana espontánea, en la cual, sin razón explicable, un ser humano saludable de pronto se incendia de adentro hacia afuera.",https://pluto.tv/on-demand/movies/639a3ab9377c6f00134bb2e4/details
Alien: Bellezas mortales,Sci-Fi & Fantasy,NC-17,1hr 36 min,"Luke y Roger son sólo otro par de universitarios tratando de perder su virginidad. Pero cuando Luke ve algo inusual, comienza a sospechar que las chicas del campus no son exactamente... humanas.",https://pluto.tv/on-demand/movies/615b139134ee6100132be33b/details
Pánico en seattle,Sci-Fi & Fantasy,N/A,1hr 28 min,"Cuando una gran tormenta amenaza el Noroeste del Pacífico, una familia debe encontrarse y trabajar en conjunto para detenerla antes de que se salga de control y aniquile a todo el planeta.",https://pluto.tv/on-demand/movies/61826d851be642001a2dfeb8/details
Tormenta de meteoritos,Sci-Fi & Fantasy,N/A,1hr 30 min,"Para la astrónoma Michelle Young, un evento celestial irrepetible se convierte en una pesadilla cuando miles de meteoros atraviesan la atmósfera y bombardean la ciudad de San Francisco.",https://pluto.tv/on-demand/movies/61826d4184bc46001a3a4b72/details
Punto de extremeño,Sci-Fi & Fantasy,TV-14,1hr 30 min,"Los experimentos del gobierno sobre viajes en el tiempo han sido suspendidos. El científico a cargo del proyecto ha desaparecido. Cuando su nombre aparece en el manifiesto de una compañía aérea, el gobierno ordena el regreso del avión.",https://pluto.tv/on-demand/movies/5f3fd8abad190c001a52e8f8/details
Barbarella,Action & Adventure,R,1hr 38 min,"El escenario es el planeta Lythion en el año 40000, cuando Barbarella (Jane Fonda) hace un aterrizaje forzoso mientras viaja a través del espacio. Ella actúa como James Bond en femenino, vence al mal en formas de robots y monstruos.",https://pluto.tv/on-demand/movies/5e5d7963e3406e0013955d79/details
King of the Lost World,Action & Adventure,N/A,1hr 24 min,"En este recuento moderno del clásico de fantasía y acción y aventura de Sir Arthur Conan Doyle, un avión comercial se estrella profundamente en el corazón de la Amazonia.",https://pluto.tv/on-demand/movies/5e505340a88c25c7901c7c5c/details
Las Guerras inmortales: Renacimiento,Sci-Fi & Fantasy,TV-14,1hr 24 min,"Rebirth tiene lugar durante las primeras etapas brutales de Dominion Industries. En esta historia, Olive y otros desviados se someten a una serie de experimentos mortales dirigidos por Laurie Harvey y su equipo.",https://pluto.tv/on-demand/movies/627c0d6e55812e0013edea13/details
Phantom Racer,Sci-Fi & Fantasy,NC-17,1hr 27 min,Un piloto de carreras regresa de la muerte para buscar venganza contra su antiguo rival.,https://pluto.tv/on-demand/movies/615b13bd34ee6100132beb7b/details
El Dador de Recuerdos,Sci-Fi & Fantasy,PG,1hr 37 min,Cuenta la historia de un mundo perfecto en el que todos sus habitantes son felices de forma artificial. Los que se encuentran en el poder han eliminado cualquier motivo que pudiera suponer un enfrentamiento o discusión.,https://pluto.tv/on-demand/movies/5f7b86f0e4b56900138b75c4/details
Bermuda Tentacles,Sci-Fi & Fantasy,N/A,1hr 29 min,"Cuando Air Force One cae sobre el Triángulo de las Bermudas, la Marina envía el mejor equipo de rescate. Pero al salvar al presidente, el equipo despierta a un monstruo que amenaza a toda la costa este.",https://pluto.tv/on-demand/movies/5e5052bd1ce126c6f4d6eaa4/details
Age of Dinosaurs,Action & Adventure,N/A,1hr 28 min,"Usando una tecnología innovadora de regeneración de carne, una empresa de biotecnología crea un conjunto de dinosaurios vivos. Pero cuando las criaturas escapan de la exhibición de su museo y aterrorizan a Los Ángeles.",https://pluto.tv/on-demand/movies/5daf9a82c5c2f64fb8ba363f/details
12 catástrofes,Sci-Fi & Fantasy,R,1hr 30 min,"En la víspera de Navidad, una amenazadora estrella negra aparece en el cielo. Cuando varias ciudades empiezan a ser devastadas catástrofes naturales, hace presagiar que el día del juicio final está cerca.",https://pluto.tv/on-demand/movies/5f3fd8e6ad190c001a52eeaf/details
Invasión U.F.O.,Sci-Fi & Fantasy,TV-MA,1hr 41 min,Un grupo de amigos debe hacer frente a un ataque alienígena en un pequeño pueblo inglés.,https://pluto.tv/on-demand/movies/60895f6b6b9d17001ac3cda9/details
Planetarium,Sci-Fi & Fantasy,PG-13,1hr 48 min,"Planetarium"" sigue el viaje de hermanas que se cree que poseen la habilidad sobrenatural de conectarse con fantasmas. Se cruzan con un visionario productor francés mientras actúan en París.",https://pluto.tv/on-demand/movies/65c3aea6b65b870013e9b157/details
Dark Storm,Sci-Fi & Fantasy,TV-14,1hr 29 min,"Un grupo de científicos acaba de inventar el Eruptor. De repente, el aparato se descontrola y se vuelve contra uno de los especialistas que, en vez de morir, adquiere superpoderes.",https://pluto.tv/on-demand/movies/60f096b50bb675001323d41f/details
